,category,states_name_en,region_en,unique_number,id_no,rev_bis,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger,date_end,danger_list,longitude,latitude,area_hectares,criteria_txt,category_short,iso_code,udnp_code,transboundary,yes
159,Cultural,China,Asia and the Pacific,831,703,,"Mountain Resort and its Outlying Temples, Chengde"," The Mountain Resort (the Qing dynasty's summer palace), in Hebei Province, was built between 1703 and 1792. It is a vast complex of palaces and administrative and ceremonial buildings. Temples of various architectural styles and imperial gardens blend harmoniously into a landscape of lakes, pastureland and forests. In addition to its aesthetic interest, the Mountain Resort is a rare historic vestige of the final development of feudal society in China. ",,1994,,0,,,117.93833,40.98694,0.0,(ii)(iv),C,cn,chn,0,True
160,Cultural,China,Asia and the Pacific,832,704,,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu," The temple, cemetery and family mansion of Confucius, the great philosopher, politician and educator of the 6th&ndash;5th centuries B.C., are located at Qufu, in Shandong Province. Built to commemorate him in 478 B.C., the temple has been destroyed and reconstructed over the centuries; today it comprises more than 100 buildings. The cemetery contains Confucius' tomb and the remains of more than 100,000 of his descendants. The small house of the Kong family developed into a gigantic aristocratic residence, of which 152 buildings remain. The Qufu complex of monuments has retained its outstanding artistic and historic character due to the devotion of successive Chinese emperors over more than 2,000 years. ",,1994,,0,,,116.975,35.61167,0.0,(i)(iv)(vi),C,cn,chn,0,True
161,Cultural,China,Asia and the Pacific,833,705,,Ancient Building Complex in the Wudang Mountains," The palaces and temples which form the nucleus of this group of secular and religious buildings exemplify the architectural and artistic achievements of China's Yuan, Ming and Qing dynasties. Situated in the scenic valleys and on the slopes of the Wudang mountains in Hubei Province, the site, which was built as an organized complex during the Ming dynasty (14th&ndash;17th centuries), contains Taoist buildings from as early as the 7th century. It represents the highest standards of Chinese art and architecture over a period of nearly 1,000 years. ",,1994,,0,,,111.0,32.46667,0.0,(i)(ii)(vi),C,cn,chn,0,True
162,Cultural,China,Asia and the Pacific,837,707,Ter,"Historic Ensemble of the Potala Palace, Lhasa"," The Potala Palace, winter palace of the Dalai Lama since the 7th century, symbolizes Tibetan Buddhism and its central role in the traditional administration of Tibet. The complex, comprising the White and Red Palaces with their ancillary buildings, is built on Red Mountain in the centre of Lhasa Valley, at an altitude of 3,700m. Also founded in the 7th century, the Jokhang Temple Monastery is an exceptional Buddhist religious complex. Norbulingka, the Dalai Lama's former summer palace, constructed in the 18th century, is a masterpiece of Tibetan art. The beauty and originality of the architecture of these three sites, their rich ornamentation and harmonious integration in a striking landscape, add to their historic and religious interest. ",,1994,"2000, 2001",0,,,91.11717,29.65792,60.5,(i)(iv)(vi),C,cn,chn,0,True
163,Cultural,China,Asia and the Pacific,921,778,,Lushan National Park," Mount Lushan, in Jiangxi, is one of the spiritual centres of Chinese civilization. Buddhist and Taoist temples, along with landmarks of Confucianism, where the most eminent masters taught, blend effortlessly into a strikingly beautiful landscape which has inspired countless artists who developed the aesthetic approach to nature found in Chinese culture. "," The Committee decided to inscribe this property on the basis of cultural cultural criteria (ii), (iii), (iv) and (vi) as a cultural landscape of outstanding aesthetic value and its powerful associations with Chinese spiritual and cultural life. ",1996,,0,,,115.8666667,29.43333333,0.0,(ii)(iii)(iv)(vi),C,cn,chn,0,True
164,Mixed,China,Asia and the Pacific,922,779,,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area"," The first Buddhist temple in China was built here in Sichuan Province in the 1st century A.D. in the beautiful surroundings of the summit Mount Emei. The addition of other temples turned the site into one of Buddhism's holiest sites. Over the centuries, the cultural treasures grew in number. The most remarkable is the Giant Buddha of Leshan, carved out of a hillside in the 8th century and looking down on the confluence of three rivers. At 71 m high, it is the largest Buddha in the world. Mount Emei is also notable for its exceptionally diverse vegetation, ranging from subtropical to subalpine pine forests. Some of the trees there are more than 1,000 years old. "," The Committee decided to inscribe the nominated property under cultural criteria (iv) and (vi) considering the area of Mt. Emei is of exceptional cultural significance, since it is the place where Buddhism first became established on Chinese territory and from where it spread widely throughout the east. It is also an area of natural beauty into which the human element has been integrated, and natural criterion (x) for its high plant species diversity with a large number of endemic species. It also underlined the importance of the link between the tangible and intangible, the natural and the cultural. ",1996,,0,,,103.76925,29.5449,15400.0,(iv)(vi)(x),M,cn,chn,0,True
165,Cultural,China,Asia and the Pacific,1934,811,Bis,Old Town of Lijiang," The Old Town of Lijiang, which is perfectly adapted to the uneven topography of this key commercial and strategic site, has retained a historic townscape of high quality and authenticity. Its architecture is noteworthy for the blending of elements from several cultures that have come together over many centuries. Lijiang also possesses an ancient water-supply system of great complexity and ingenuity that still functions effectively today. "," The Committee decided to inscribe this site on the basis of cultural criteria (ii), (iv) and (v). Lijiang is an exceptional ancient town set in a dramatic landscape which represents the harmonious fusion of different cultural traditions to produce an urban landscape of outstanding quality. ",1997,,0,,,100.23333,26.86667,145.6,(ii)(iv)(v),C,cn,chn,0,True
166,Cultural,China,Asia and the Pacific,959,812,,Ancient City of Ping Yao," Ping Yao is an exceptionally well-preserved example of a traditional Han Chinese city, founded in the 14th century. Its urban fabric shows the evolution of architectural styles and town planning in Imperial China over five centuries. Of special interest are the imposing buildings associated with banking, for which Ping Yao was the major centre for the whole of China in the 19th and early 20th centuries. "," The Committee decided to inscribe this property on the basis of criteria (ii), (iii) and (iv), considering that the Ancient City of Ping Yao is an outstanding example of a Han Chinese city of the Ming and Qing Dynasties (14th-20th centuries) that has retained all its features to an exceptional degree and in doing so provides a remarkably complete picture of cultural, social, economic, and religious development during one of the most seminal periods of Chinese history. ",1997,,0,,,112.15444,37.20139,245.62,(ii)(iii)(iv),C,cn,chn,0,True
167,Cultural,China,Asia and the Pacific,961,813,Bis,Classical Gardens of Suzhou," Classical Chinese garden design, which seeks to recreate natural landscapes in miniature, is nowhere better illustrated than in the nine gardens in the historic city of Suzhou. They are generally acknowledged to be masterpieces of the genre. Dating from the 11th-19th century, the gardens reflect the profound metaphysical importance of natural beauty in Chinese culture in their meticulous design. "," The Committee decided to inscribe this property on the basis of criteria (i), (ii), (iii), (iv) and (v), considering that the four classical gardens of Suzhou are masterpieces of Chinese landscape garden design in which art, nature, and ideas are integrated perfectly to create ensembles of great beauty and peaceful harmony, and four gardens are integral to the entire historic urban plan. ",1997,2000,0,,,120.45,31.31666667,11.922,(i)(ii)(iii)(iv)(v),C,cn,chn,0,True
168,Cultural,China,Asia and the Pacific,1032,880,,"Summer Palace, an Imperial Garden in Beijing"," The Summer Palace in Beijing &ndash; first built in 1750, largely destroyed in the war of 1860 and restored on its original foundations in 1886 &ndash; is a masterpiece of Chinese landscape garden design. The natural landscape of hills and open water is combined with artificial features such as pavilions, halls, palaces, temples and bridges to form a harmonious ensemble of outstanding aesthetic value. "," Criterion i: The Summer Palace in Beijing is an outstanding expression of the creative art of Chinese landscape garden design, incorporating the works of humankind and nature in a harmonious whole. Criterion ii: The Summer Palace epitomizes the philosophy and practice of Chinese garden design, which played a key role in the development of this cultural form throughout the East. Criterion iii: The imperial Chinese garden, illustrated by the Summer Palace, is a potent symbol of one of the major world civilizations. ",1998,,0,,,116.1411111,39.91055556,297.0,(i)(ii)(iii),C,cn,chn,0,True
169,Cultural,China,Asia and the Pacific,1033,881,,Temple of Heaven: an Imperial Sacrificial Altar in Beijing," The Temple of Heaven, founded in the first half of the 15th century, is a dignified complex of fine cult buildings set in gardens and surrounded by historic pine woods. In its overall layout and that of its individual buildings, it symbolizes the relationship between earth and heaven &ndash; the human world and God's world &ndash; which stands at the heart of Chinese cosmogony, and also the special role played by the emperors within that relationship. "," Criterion i: The Temple of Heaven is a masterpiece of architecture and landscape design which simply and graphically illustrates a cosmogony of great importance for the evolution of one of the world&rsquo;s great civilizations. Criterion ii: The symbolic layout and design of the Temple of Heaven had a profound influence on architecture and planning in the Far East over many centuries. Criterion iii: For more than two thousand years China was ruled by a series of feudal dynasties, the legitimacy of which is symbolized by the design and layout of the Temple of Heaven. ",1998,,0,,,116.4447222,39.84555556,215.0,(i)(ii)(iii),C,cn,chn,0,True
170,Mixed,China,Asia and the Pacific,2245,911,,Mount Wuyi," Mount Wuyi is the most outstanding area for biodiversity conservation in south-east China and a refuge for a large number of ancient, relict species, many of them endemic to China. The serene beauty of the dramatic gorges of the Nine Bend River, with its numerous temples and monasteries, many now in ruins, provided the setting for the development and spread of neo-Confucianism, which has been influential in the cultures of East Asia since the 11th century. In the 1st century B.C. a large administrative capital was built at nearby Chengcun by the Han dynasty rulers. Its massive walls enclose an archaeological site of great significance. "," Natural criteria (vii) and (x): Mount Wuyi is one of the most outstanding subtropical forests in the world. It is the largest, most representative example of a largely intact forest encompassing the diversity of the Chinese Subtropical Forest and the South Chinese Rainforest. It acts as a refuge for a large number of ancient, relict plant species, many of them endemic to China and contains large numbers of reptile, amphibian and insect species. The riverine landscape of Nine-Bend Stream (lower gorge) is also of exceptional scenic quality in its juxtaposition of smooth rock cliffs with clear, deep water. 
 Cultural criteria (iii): Mount Wuyi is a landscape of great beauty that has been protected for more than twelve centuries. It contains a series of exceptional archaeological sites, including the Han City established in the 1st century BC and a number of temples and study centres associated with the birth of Neo-Confucianism in the 11th century AD. 
 Cultural Criterion (vi): Mount Wuyi was the cradle of Neo-Confucianism, a doctrine that played a dominant role in the countries of Eastern and South-Eastern Asia for many centuries and influenced philosophy and government over much of the world. ",1999,,0,,,117.68333,27.71667,107044.0,(iii)(vi)(vii)(x),M,cn,chn,0,True
171,Cultural,China,Asia and the Pacific,1065,912,,Dazu Rock Carvings," The steep hillsides of the Dazu area contain an exceptional series of rock carvings dating from the 9th to the 13th century. They are remarkable for their aesthetic quality, their rich diversity of subject matter, both secular and religious, and the light that they shed on everyday life in China during this period. They provide outstanding evidence of the harmonious synthesis of Buddhism, Taoism and Confucianism. "," Criterion (i): The Dazu carvings represent the pinnacle of Chinese rock art for their high aesthetic quality and their diversity of style and subject matter. 
 Criterion (ii): Tantric Buddhism from India and the Chinese Taoist and Confucian beliefs came together at Dazu to create a highly original and influential manifestation of spiritual harmony. 
 Criterion (iii): The eclectic nature of religious belief in later Imperial China is given material expression in the exceptional artistic heritage of the Dazu rock art. ",1999,,0,,,105.705,29.70111,20.41,(i)(ii)(iii),C,cn,chn,0,True
172,Cultural,China,Asia and the Pacific,1167,1001,,Mount Qingcheng and the Dujiangyan Irrigation System," Construction of the Dujiangyan irrigation system began in the 3rd century B.C. This system still controls the waters of the Minjiang River and distributes it to the fertile farmland of the Chengdu plains. Mount Qingcheng was the birthplace of Taoism, which is celebrated in a series of ancient temples. "," Criterion (ii): The Dujiangyan Irrigation System, begun in the 2nd century BCE, is a major landmark in the development of water management and technology, and is still discharging its functions perfectly. 
 Criterion (iv): The immense advances in science and technology achieved in ancient China are graphically illustrated by the Dujiangyan Irrigation System. 
 Criterion (vi): The temples of Mount Qingcheng are closely associated with the foundation of Taoism, one of the most influential religions of East Asia over a long period of history. ",2000,,0,,,103.60528,31.00167,0.0,(ii)(iv)(vi),C,cn,chn,0,True
173,Cultural,China,Asia and the Pacific,1168,1002,,Ancient Villages in Southern Anhui – Xidi and Hongcun," The two traditional villages of Xidi and Hongcun preserve to a remarkable extent the appearance of non-urban settlements of a type that largely disappeared or was transformed during the last century. Their street plan, their architecture and decoration, and the integration of houses with comprehensive water systems are unique surviving examples. "," Criterion (iii): The villages of Xidi and Hongcun are graphic illustrations of a type of human settlement created during a feudal period and based on a prosperous trading economy. 
 Criterion (iv): In their buildings and their street patterns, the two villages of southern Anhui reflect the socio-economic structure of a long-lived settled period of Chinese history. 
 Criterion (v): The traditional non-urban settlements of China, which have to a very large extent disappeared during the past century, are exceptionally well preserved in the villages of Xidi and Hongcun. ",2000,,0,,,117.9875,29.90444444,52.0,(iii)(iv)(v),C,cn,chn,0,True
174,Cultural,China,Asia and the Pacific,1169,1003,,Longmen Grottoes," The grottoes and niches of Longmen contain the largest and most impressive collection of Chinese art of the late Northern Wei and Tang Dynasties (316-907). These works, entirely devoted to the Buddhist religion, represent the high point of Chinese stone carving. "," Criterion (i): The sculptures of the Longmen Grottoes are an outstanding manifestation of human artistic creativity. 
 Criterion (ii): The Longmen Grottoes illustrate the perfection of a long-established art form which was to play a highly significant role in the cultural evolution of this region of Asia. 
 Criterion (iii): The high cultural level and sophisticated society of Tang Dynasty China is encapsulated in the exceptional stone carvings of the Longmen Grottoes. ",2000,,0,,,112.4666667,34.46666667,331.0,(i)(ii)(iii),C,cn,chn,0,True
175,Cultural,China,Asia and the Pacific,1172,1004,Ter,Imperial Tombs of the Ming and Qing Dynasties," It represents the addition of three Imperial Tombs of the Qing Dynasty in Liaoning to the Ming tombs inscribed in 2000 and 2003. The Three Imperial Tombs of the Qing Dynasty in Liaoning Province include the Yongling Tomb, the Fuling Tomb, and the Zhaoling Tomb, all built in the 17th century. Constructed for the founding emperors of the Qing Dynasty and their ancestors, the tombs follow the precepts of traditional Chinese geomancy and fengshui theory. They feature rich decoration of stone statues and carvings and tiles with dragon motifs, illustrating the development of the funerary architecture of the Qing Dynasty. The three tomb complexes, and their numerous edifices, combine traditions inherited from previous dynasties and new features of Manchu civilization. "," <em>Criterion (i):</em> The harmonious integration of remarkable architectural groups in a natural environment chosen to meet the criteria of geomancy (Fengshui) makes the Ming and Qing Imperial Tombs masterpieces of human creative genius. 
 <em>Criteria (ii), (iii) and (iv):</em> The imperial mausolea are outstanding testimony to a cultural and architectural tradition that for over five hundred years dominated this part of the world; by reason of their integration into the natural environment, they make up a unique ensemble of cultural landscapes. 
 <em>Criterion (vi):</em> The Ming and Qing Tombs are dazzling illustrations of the beliefs, world view, and geomantic theories of Fengshui prevalent in feudal China. They have served as burial edifices for illustrious personages and as the theatre for major events that have marked the history of China. ",2000,"2003, 2004",0,,,124.7938889,41.70722222,3434.9399,(i)(ii)(iii)(iv)(vi),C,cn,chn,0,True
176,Cultural,China,Asia and the Pacific,1213,1039,,Yungang Grottoes," The Yungang Grottoes, in Datong city, Shanxi Province, with their 252 caves and 51,000 statues, represent the outstanding achievement of Buddhist cave art in China in the 5th and 6th centuries. The Five Caves created by Tan Yao, with their strict unity of layout and design, constitute a classical masterpiece of the first peak of Chinese Buddhist art. "," Criterion (i): The assemblage of statuary of the Yungang Grottoes is a masterpiece of early Chinese Buddhist cave art. 
 Criterion (ii): The Yungang cave art represent the successful fusion of Buddhist religious symbolic art from south and central Asia with Chinese cultural traditions, starting in the 5th century CE under Imperial auspices. 
 Criterion (iii): The power and endurance of Buddhist belief in China are vividly illustrated by the Yungang grottoes. 
 Criterion (iv): The Buddhist tradition of religious cave art achieved its first major impact at Yungang, where it developed its own distinct character and artistic power. ",2001,,0,,,113.12222,40.10972,348.75,(i)(ii)(iii)(iv),C,cn,chn,0,True
177,Natural,China,Asia and the Pacific,1731,1083,Bis,Three Parallel Rivers of Yunnan Protected Areas," Consisting of eight geographical clusters of protected areas within the boundaries of the Three Parallel Rivers National Park, in the mountainous north-west of Yunnan Province, the 1.7 million hectare site features sections of the upper reaches of three of the great rivers of Asia: the Yangtze (Jinsha), Mekong and Salween run roughly parallel, north to south, through steep gorges which, in places, are 3,000 m deep and are bordered by glaciated peaks more than 6,000 m high. The site is an epicentre of Chinese biodiversity. It is also one of the richest temperate regions of the world in terms of biodiversity. "," Criterion (vii): Superlative natural phenomena or natural beauty and aesthetic importance The deep, parallel gorges of the Jinsha, Lancang and Nu Jiang are the outstanding natural feature of the site; while large sections of the three rivers lie just outside the site boundaries, the river gorges are nevertheless the dominant scenic element in the area. High mountains are everywhere, with the glaciated peaks of the Meili, Baima and Haba Snow Mountains providing a spectacular scenic skyline. The Mingyongqia Glacier is a notable natural phemonenon, descending to 2700 m altitude from Mt Kawagebo (6740 m), and is claimed to be the gla cier descending to the lowest altitude for such a low latitude (28Â° N) in the northern hemisphere. Other outstanding scenic landforms are the alpine karst (especially the 'stone moon' in the Moon Mountain Scenic Area above the Nu Jiang Gorge) and the 'tortoise shell' weathering of the alpine Danxia. 
 Criterion (viii): The property is of outstanding value for displaying the geological history of the last 50 million years associated with the collision of the Indian Plate with the Eurasian Plate, the closure of the ancient Tethys Sea, and the uplifting of the Himalaya Range and the Tibetan Plateau. These were major geological events in the evolution of the land surface of Asia and they are on-going. The diverse rock types within the site record this history and, in addition, the range of karst, granite monolith, and Danxia sandstone landforms in the alpine zone include some of the best of their type in the mountains of the world. 
 Â Criterion (ix): The dramatic expression of ecological processes in the Three Parallel Rivers site has resulted from a mix of geological, climatic and topographical effects. First, the location of the area within an active orographic belt has resulted in a wide range of rock substrates from igneous (four types) through to various sedimentary types including limestones, sandstones and conglomerates. An exceptional range of topographical features - from gorges to karst to glaciated peaks -- is associated with the site being at a â€œcollision pointâ€ of tectonic plates. Add the fact that the area was a Pleistocene refugium and is located at a biogeographical convergence zone (i.e. with temperate and tropical elements) and the physical foundations for evolution of its high biodiversity are all present. Along with the landscape diversity with a steep gradient of almost 6000m vertical, a monsoon climate affects most of the area and provides another favourable ecological stimulus that has allowed the full range of temperate Palearctic biomes to develop. 
 Criterion (x): Biodiversity and threatened species Northwest Yunnan is the area of richest biodiversity in China and may be the most biologically diverse temperate region on earth. The site encompasses most of the natural habitats in the Hengduan Mountains, one of the world's most important remaining areas for the conservation of the earth's biodiversity. The outstanding topographic and climatic diversity of the site, coupled with its location at the juncture of the East Asia, Southeast Asia, and Tibetan Plateau biogeographical realms and its function as a N-S corridor for the movement of plants and animals (especially during the ice ages), marks it as a truly unique landscape, which still retains a high degree of natural character despite thousands of years of human habitation. As the last remaining stronghold for an extensive suite of rare and endangered plants and animals, the site is of outstanding universal value. ",2003,,0,,,98.40638889,27.895,,(vii)(viii)(ix)(x),N,cn,chn,0,True
178,Cultural,China,Asia and the Pacific,1289,1110,,Historic Centre of Macao," Macao, a lucrative port of strategic importance in the development of international trade, was under Portuguese administration from the mid-16th century until 1999, when it came under Chinese sovereignty. With its historic street, residential, religious and public Portuguese and Chinese buildings, the historic centre of Macao provides a unique testimony to the meeting of aesthetic, cultural, architectural and technological influences from East and West. The site also contains a fortress and a lighthouse, the oldest in China. It bears witness to one of the earliest and longest-lasting encounters between China and the West, based on the vibrancy of international trade. "," <em>Criterion (ii):</em> The strategic location of Macao on the Chinese territory, and the special relationship established between the Chinese and Portuguese authorities favoured an important interchange of human values in the various fields of culture, sciences, technology, art and architecture over several centuries. 
 <em>Criterion (iii): </em> Macao bears a unique testimony to the first and longest-lasting encounter between the West and China. From the 16th to the 20th centuries, it was the focal point for traders and missionaries, and the different fields of learning. The impact of this encounter can be traced in the fusion of different cultures that characterise the historic core zone of Macao. 
 <em>Criterion (iv): </em> Macao represents an outstanding example of an architectural ensemble that illustrates the development of the encounter between the Western and Chinese civilisations over some four and half centuries, represented in the historical route, with a series of urban spaces and architectural ensembles, that links the ancient Chinese port with the Portuguese city. 
 <em>Criterion (vi): </em> Macao has been associated with the exchange of a variety of cultural, spiritual, scientific and technical influences between the Western and Chinese civilisations. These ideas directly motivated the introduction of crucial changes in China, ultimately ending the era of imperial feudal system and establishing the modern republic. ",2005,,0,,,113.5364611,22.19129194,16.1678,(ii)(iii)(iv)(vi),C,cn,chn,0,True
179,Cultural,China,Asia and the Pacific,1877,1111,,Cultural Landscape of Honghe Hani Rice Terraces ," The Cultural Landscape of Honghe Hani Rice Terraces, China covers 16,603-hectares in Southern Yunnan. It is marked by spectacular terraces that cascade down the slopes of the towering Ailao Mountains to the banks of the Hong River. Over the past 1,300 years, the Hani people have developed a complex system of channels to bring water from the forested mountaintops to the terraces. They have also created an integrated farming system that involves buffalos, cattle, ducks, fish and eel and supports the production of red rice, the area&rsquo;s primary crop. The inhabitants worship the sun, moon, mountains, rivers, forests and other natural phenomena including fire. They live in 82 villages situated between the mountaintop forests and the terraces. The villages feature traditional thatched &ldquo;mushroom&rdquo; houses. The resilient land management system of the rice terraces demonstrates extraordinary harmony between people and their environment, both visually and ecologically, based on exceptional and long-standing social and religious structures. ",,2013,,0,,,102.7799806,23.09327778,16603.22,(iii)(v),C,cn,chn,0,True
180,Cultural,China,Asia and the Pacific,1459,1112,,Kaiping Diaolou and Villages," Kaiping Diaolou and Villages feature the Diaolou, multi-storeyed defensive village houses in Kaiping, which display a complex and flamboyant fusion of Chinese and Western structural and decorative forms. They reflect the significant role of &eacute;migr&eacute; Kaiping people in the development of several countries in South Asia, Australasia and North America, during the late 19th and early 20th centuries. There are four groups of Diaolou and twenty of the most symbolic ones are inscribed on the List. These buildings take three forms: communal towers built by several families and used as temporary refuge, residential towers built by individual rich families and used as fortified residences, and watch towers. Built of stone, <em>pise</em> , brick or concrete, these buildings represent a complex and confident fusion between Chinese and Western architectural styles. Retaining a harmonious relationship with the surrounding landscape, the Diaolou testify to the final flowering of local building traditions that started in the Ming period in response to local banditry. ",,2007,,0,,,112.5658611,22.28551944,371.948,(ii)(iii)(iv),C,cn,chn,0,True
181,Cultural,China,Asia and the Pacific,1505,1113,,Fujian <em>Tulou</em>," Fujian <em>Tulou</em> is a property of 46 buildings constructed between the 15th and 20th centuries over 120 km in south-west of Fujian province, inland from the Taiwan Strait. Set amongst rice, tea and tobacco fields the Tulou are earthen houses. Several storeys high, they are built along an inward-looking, circular or square floor plan as housing for up to 800 people each. They were built for defence purposes around a central open courtyard with only one entrance and windows to the outside only above the first floor. Housing a whole clan, the houses functioned as village units and were known as “a little kingdom for the family” or “bustling small city.” They feature tall fortified mud walls capped by tiled roofs with wide over-hanging eaves. The most elaborate structures date back to the 17th and 18th centuries. The buildings were divided vertically between families with each disposing of two or three rooms on each floor. In contrast with their plain exterior, the inside of the tulou were built for comfort and were often highly decorated. They are inscribed as exceptional examples of a building tradition and function exemplifying a particular type of communal living and defensive organization, and, in terms of their harmonious relationship with their environment, an outstanding example of human settlement. ",,2008,,0,,,117.6858333,25.02305556,152.65,(iii)(iv)(v),C,cn,chn,0,True
